Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
pughlab,jdiazmej,2375047,2021-05-16T06:59:11,2021-05-19T06:59:31,10,3-00:00:20,"billing=150,cpu=10,mem=600G,n+",30-00:03:2,0,,,,,node96,0:00,TIMEOUT,,pughlab,201
pughlab,pluo,2375061,2021-05-16T06:59:11,2021-05-17T07:00:36,3,1-00:01:25,"billing=30,cpu=3,mem=120G,nod+",3-00:04:15,,,,,,node96,0:00,COMPLETED,,hoffmangr+,5
pughlab,hshirley,2375267,2021-05-16T23:17:12,2021-05-17T00:05:43,1,0:48:31,"billing=125,cpu=1,mem=500G,no+",0:48:31,,,,,,node96,0:00,COMPLETED,,bhklab,25
pughlab,hshirley,2374659,2021-05-17T07:01:21,2021-05-17T21:38:35,2,14:37:14,"billing=187,cpu=2,mem=750G,no+",1-05:14:28,,,,,,node96,0:00,COMPLETED,,lupiengro+,17
hoffmangr+,wilsons,2375505,2021-05-17T21:38:53,2021-05-17T21:38:53,1,0:00:00,"billing=100,cpu=1,mem=400G,no+",0:00:00,,,,,,node96,127:00:00,FAILED,,,
pughlab,lrichard,2375917,2021-05-17T21:39:23,2021-05-18T07:12:11,25,9:32:48,"billing=125,cpu=25,mem=500G,n+",9-22:40:00,,,,,,node96,1:00,FAILED,,,
pughlab,jdiazmej,2375248,2021-05-17T21:41:13,2021-05-18T19:54:22,10,22:13:09,"billing=37,cpu=10,mem=150G,no+",9-06:11:30,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2376744,2021-05-17T23:38:13,2021-05-18T08:38:07,3,8:59:54,"billing=30,cpu=3,mem=120G,nod+",1-02:59:42,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2375467,2021-05-18T07:14:13,2021-05-18T08:27:52,1,1:13:39,"billing=125,cpu=1,mem=500G,no+",1:13:39,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2375468,2021-05-18T08:29:13,2021-05-18T08:29:34,1,0:00:21,"billing=125,cpu=1,mem=500G,no+",0:00:21,,,,,,node96,1:00,FAILED,,,
pughlab,jdiazmej,2375249,2021-05-18T08:38:13,2021-05-19T07:34:29,10,22:56:16,"billing=150,cpu=10,mem=600G,n+",9-13:22:40,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2376752,2021-05-18T09:28:27,2021-05-18T09:28:27,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 27306,,,
